customer_id,age,gender,subscription,watch_hours,last_login_gap,region,device,monthly_fee,payment_method,videos_watched,avg_watch_time,favorite_genre,churn
AM_21,23,Female,Standard,5.02,4,North America,TV,13.99,UPI,76,1.69,Comedy,0
AM_22,62,Female,Standard,8.34,44,Europe,Laptop,13.99,Wallet,34,0.13,Drama,1
AM_23,37,Other,Standard,8.61,2,South America,Laptop,8.99,Credit Card,104,0.75,Sci-Fi,0
AM_24,18,Male,Standard,12.44,19,North America,Mobile,8.99,UPI,17,0.88,Action,0
AM_25,60,Other,Premium,11.92,31,North America,Laptop,17.99,UPI,52,1.56,Sci-Fi,1
AM_26,20,Other,Standard,8.92,9,Europe,Laptop,8.99,Credit Card,7,1.18,Action,0
AM_27,38,Female,Standard,0.51,57,Africa,Mobile,17.99,Debit Card,3,1.13,Comedy,1
AM_28,61,Female,Standard,2.92,1,North America,Laptop,13.99,Credit Card,94,0.72,Drama,0
AM_29,28,Other,Standard,2.94,33,Europe,TV,8.99,Wallet,102,0.73,Drama,1
AM_30,49,Other,Standard,6.77,41,North America,Laptop,17.99,UPI,32,0.52,Action,0
AM_31,50,Male,Standard,1.46,23,South America,TV,17.99,UPI,63,0.31,Horror,0
AM_32,22,Other,Premium,8.99,38,Africa,Mobile,8.99,Debit Card,77,0.34,Horror,0
AM_33,45,Female,Standard,8.16,46,Asia,TV,8.99,UPI,18,1.87,Romance,1
AM_34,49,Female,Basic,18.12,50,Europe,TV,13.99,Credit Card,107,1.42,Comedy,0
AM_35,58,Female,Premium,13.37,30,Africa,TV,17.99,Debit Card,87,1.27,Horror,0
AM_36,61,Other,Standard,1.1,20,Europe,TV,8.99,Wallet,95,0.12,Sci-Fi,0
AM_37,59,Other,Basic,14.33,20,South America,TV,17.99,UPI,96,1.6,Sci-Fi,0
AM_38,54,Other,Basic,10.77,36,North America,Mobile,13.99,Wallet,91,0.11,Sci-Fi,0
AM_39,26,Other,Standard,6.24,32,North America,Laptop,17.99,Wallet,21,0.53,Romance,0
AM_40,54,Male,Premium,14.99,10,North America,Laptop,17.99,Debit Card,119,1.24,Comedy,0
AM_41,39,Female,Premium,12.93,44,Europe,Mobile,17.99,UPI,63,0.33,Romance,1
AM_42,67,Female,Standard,11.57,34,Africa,Laptop,13.99,Credit Card,80,0.56,Action,1
AM_43,35,Female,Standard,13.51,35,South America,TV,8.99,Wallet,112,1.74,Sci-Fi,0
AM_44,31,Male,Premium,35.4,3,Asia,TV,17.99,UPI,35,0.46,Horror,0
AM_45,29,Other,Premium,5.29,58,Africa,TV,17.99,Credit Card,23,1.09,Horror,0
AM_46,26,Male,Basic,26.03,26,Europe,Mobile,17.99,UPI,104,1.1,Romance,0
AM_47,30,Female,Premium,15.61,49,Asia,TV,13.99,UPI,41,0.51,Drama,0
AM_48,69,Male,Standard,10.69,4,Asia,TV,13.99,UPI,58,0.45,Romance,0
AM_49,23,Male,Standard,16.26,13,Africa,Mobile,8.99,UPI,66,0.47,Comedy,0
AM_50,55,Male,Premium,32.44,59,South America,Laptop,13.99,Debit Card,92,0.16,Horror,1
AM_51,51,Other,Standard,4.38,21,South America,TV,13.99,Wallet,105,1.18,Romance,0
AM_52,19,Female,Basic,9.54,23,Asia,TV,8.99,Wallet,3,0.17,Action,0
AM_53,39,Female,Premium,16.38,35,South America,Laptop,8.99,UPI,33,1.16,Comedy,0
AM_54,28,Female,Premium,3.15,8,South America,Laptop,8.99,Credit Card,78,1.15,Romance,0
AM_55,63,Female,Basic,3.87,42,North America,Mobile,8.99,Debit Card,70,1.91,Drama,1
AM_56,37,Other,Premium,0.54,4,North America,TV,17.99,Debit Card,80,0.8,Horror,1
AM_57,28,Female,Basic,5.7,53,North America,Mobile,17.99,Wallet,86,0.22,Action,1
AM_58,46,Female,Premium,6.63,57,Asia,Mobile,17.99,UPI,21,0.82,Romance,0
AM_59,55,Other,Basic,12.49,57,North America,TV,8.99,Debit Card,21,0.77,Drama,0
AM_60,62,Male,Basic,10.9,58,Africa,TV,8.99,Wallet,74,0.19,Comedy,1
AM_61,62,Male,Standard,4.63,46,Europe,Mobile,17.99,Debit Card,114,1.87,Action,1
AM_62,67,Other,Premium,9.21,15,Africa,Laptop,13.99,Credit Card,19,1.83,Sci-Fi,0
AM_63,56,Male,Basic,17.33,45,Africa,Mobile,13.99,Credit Card,117,1.07,Action,0
AM_64,43,Other,Standard,8.41,20,North America,Laptop,13.99,Debit Card,70,0.59,Horror,0
AM_65,56,Female,Basic,14.82,9,Asia,TV,13.99,Wallet,10,1.47,Action,0
AM_66,48,Other,Premium,13.36,0,Europe,Mobile,13.99,UPI,24,0.27,Romance,0
AM_67,40,Other,Basic,26.19,57,Europe,TV,13.99,Credit Card,52,0.2,Drama,0
AM_68,39,Female,Basic,13.54,55,South America,Mobile,17.99,Debit Card,1,1.54,Comedy,0
AM_69,22,Female,Basic,13.95,20,Africa,Laptop,17.99,Debit Card,88,0.47,Horror,0
AM_70,42,Female,Standard,7.42,37,South America,Laptop,8.99,Debit Card,45,0.46,Drama,1
AM_71,54,Other,Standard,12.29,56,North America,Laptop,13.99,Credit Card,109,1.51,Action,1
AM_72,33,Male,Premium,13.91,44,Europe,TV,8.99,UPI,106,0.6,Action,0
AM_73,25,Female,Basic,4.55,51,Africa,TV,8.99,UPI,104,0.86,Comedy,1
AM_74,21,Male,Basic,10.36,2,Europe,TV,8.99,Credit Card,87,0.74,Romance,0
AM_75,18,Other,Basic,8.86,40,Europe,Laptop,17.99,UPI,15,1.27,Horror,0
AM_76,23,Male,Basic,20.69,4,Europe,TV,13.99,Wallet,59,0.36,Sci-Fi,0
AM_77,29,Female,Premium,9.19,56,Europe,TV,13.99,Credit Card,90,0.61,Sci-Fi,1
AM_78,47,Female,Standard,9.3,54,North America,Laptop,17.99,Wallet,81,0.87,Sci-Fi,0
AM_79,20,Female,Premium,10.74,41,South America,Laptop,13.99,Credit Card,79,0.81,Action,0
AM_80,36,Other,Standard,0.4,53,Europe,Laptop,13.99,Credit Card,99,0.42,Sci-Fi,0
AM_81,40,Male,Basic,3.42,54,Europe,TV,13.99,Wallet,96,1.96,Romance,1
AM_82,46,Other,Standard,16.68,20,Africa,Laptop,17.99,Credit Card,115,0.64,Drama,0
AM_83,57,Female,Basic,5.47,4,Asia,Mobile,8.99,Credit Card,17,0.72,Comedy,0
AM_84,52,Male,Standard,10.78,40,South America,TV,17.99,Debit Card,49,1.82,Drama,1
AM_85,40,Male,Basic,8.35,52,Europe,TV,13.99,Debit Card,36,0.49,Romance,1
AM_86,24,Female,Premium,19.05,45,North America,Laptop,17.99,UPI,21,1.65,Comedy,0
AM_87,58,Other,Basic,3.25,27,Africa,Laptop,17.99,Wallet,46,0.19,Sci-Fi,0
AM_88,65,Other,Basic,11.63,25,Europe,TV,8.99,Credit Card,77,0.51,Action,0
AM_89,40,Male,Standard,1.14,14,North America,Laptop,13.99,Wallet,91,0.76,Drama,0
AM_90,24,Other,Standard,11.64,44,North America,Laptop,17.99,Wallet,35,1.17,Comedy,0
AM_91,40,Female,Basic,9.03,8,Asia,Laptop,8.99,Debit Card,28,1.04,Horror,0
AM_92,57,Male,Basic,1.05,41,Africa,Laptop,17.99,Credit Card,18,1.71,Romance,0
AM_93,31,Other,Standard,8.53,5,Africa,Laptop,8.99,Credit Card,80,1.99,Romance,0
AM_94,49,Other,Basic,0.07,55,Asia,Laptop,13.99,Wallet,85,0.33,Action,1
AM_95,22,Other,Premium,4.53,5,Africa,TV,17.99,Debit Card,29,0.54,Horror,1
AM_96,44,Female,Standard,2.89,39,Africa,TV,17.99,Debit Card,44,0.16,Drama,1
AM_97,31,Male,Premium,3.5,0,North America,Mobile,8.99,UPI,75,0.48,Drama,0
AM_98,44,Female,Standard,8.09,42,Europe,TV,13.99,UPI,38,1.68,Drama,1
AM_99,35,Female,Basic,8.91,7,North America,Mobile,13.99,UPI,55,0.67,Romance,0
AM_100,18,Other,Basic,10.13,9,Europe,Mobile,13.99,Debit Card,108,0.47,Horror,0
AM_101,42,Female,Standard,3.4,32,Europe,TV,13.99,UPI,84,1.29,Action,0
AM_102,63,Female,Premium,1.24,31,South America,TV,17.99,Credit Card,10,1.61,Comedy,1
AM_103,21,Female,Standard,27.11,38,South America,Laptop,17.99,Credit Card,55,0.45,Comedy,1
AM_104,29,Female,Premium,3.01,39,South America,Laptop,17.99,UPI,9,0.99,Comedy,0
AM_105,27,Other,Premium,4.84,1,South America,TV,17.99,Debit Card,103,1.64,Comedy,0
AM_106,21,Female,Basic,3.63,20,Europe,Mobile,17.99,Wallet,32,0.23,Romance,0
AM_107,28,Other,Premium,10.44,41,Europe,Laptop,13.99,Credit Card,36,1.13,Drama,1
AM_108,23,Male,Standard,15.16,50,Europe,Laptop,8.99,UPI,64,0.45,Action,0
AM_109,33,Other,Standard,2.87,55,Asia,Laptop,13.99,Debit Card,40,1.37,Action,1
AM_110,23,Female,Standard,11.76,19,Asia,Laptop,8.99,UPI,80,1.44,Action,0
AM_111,45,Other,Standard,4.41,59,Asia,Laptop,17.99,Debit Card,48,0.17,Romance,0
AM_112,46,Female,Premium,4.82,49,Asia,Mobile,17.99,Wallet,74,0.26,Romance,1
AM_113,53,Other,Standard,13.58,10,North America,TV,8.99,Credit Card,36,0.98,Sci-Fi,0
AM_114,60,Female,Basic,8.45,26,Africa,Laptop,13.99,UPI,17,1.65,Comedy,0
AM_115,68,Female,Standard,31.88,5,North America,Laptop,17.99,UPI,26,1.03,Action,0
AM_116,65,Female,Basic,5.13,24,Asia,Laptop,13.99,UPI,10,1.12,Sci-Fi,0
AM_117,60,Female,Standard,7.15,12,North America,Mobile,17.99,Credit Card,115,0.36,Drama,0
AM_118,25,Male,Standard,8.11,15,Asia,Laptop,13.99,Wallet,7,0.92,Horror,0
AM_119,58,Female,Premium,10.25,56,Europe,Mobile,13.99,UPI,85,1.44,Action,1
AM_120,32,Female,Standard,3.06,42,North America,Mobile,13.99,UPI,2,1.99,Romance,0
AM_121,55,Female,Premium,3.89,18,Europe,Mobile,8.99,UPI,37,1.88,Horror,0
AM_122,64,Other,Premium,20.77,14,South America,Mobile,17.99,Wallet,87,1.9,Horror,0
AM_123,29,Female,Basic,4.04,56,North America,Mobile,17.99,Wallet,88,0.32,Romance,0
AM_124,24,Female,Basic,3.8,56,Asia,Laptop,8.99,Debit Card,102,0.38,Romance,1
AM_125,66,Male,Basic,5.38,39,North America,Mobile,13.99,UPI,44,0.25,Sci-Fi,0
AM_126,52,Other,Standard,8.49,49,North America,TV,13.99,Wallet,70,0.5,Action,0
AM_127,29,Other,Standard,7.46,14,Europe,TV,8.99,Debit Card,82,1.14,Action,0
AM_128,35,Male,Basic,2.29,59,Africa,TV,13.99,Credit Card,49,1.56,Drama,0
AM_129,25,Female,Basic,4.35,31,Africa,Laptop,8.99,Debit Card,109,1.66,Horror,0
AM_130,42,Male,Premium,26.67,32,Africa,TV,13.99,UPI,3,1.37,Action,0
AM_131,20,Male,Basic,3.91,3,South America,TV,17.99,UPI,8,1.83,Comedy,0
AM_132,35,Other,Premium,23.65,15,Africa,TV,13.99,UPI,26,0.97,Sci-Fi,0
AM_133,34,Male,Standard,5.59,31,Asia,Laptop,17.99,Debit Card,103,1.75,Drama,0
AM_134,41,Other,Basic,6.55,54,Africa,TV,8.99,Wallet,93,0.84,Romance,0
AM_135,51,Other,Basic,1.34,41,South America,Laptop,8.99,Debit Card,79,1.66,Comedy,1
AM_136,67,Other,Basic,19.49,3,Europe,Mobile,13.99,Debit Card,31,0.79,Horror,0
AM_137,29,Female,Basic,10.57,15,Europe,Mobile,13.99,UPI,2,0.24,Romance,0
AM_138,29,Female,Standard,4.22,20,Africa,Mobile,8.99,Debit Card,38,1.98,Romance,0
AM_139,29,Other,Basic,7.01,26,North America,TV,8.99,Debit Card,72,1.63,Romance,0
AM_140,35,Male,Basic,1.25,39,Africa,TV,17.99,UPI,117,1.36,Action,1
AM_141,34,Other,Standard,7.85,5,Africa,Mobile,13.99,Credit Card,60,0.15,Action,0
AM_142,41,Male,Basic,1.91,27,Africa,TV,8.99,Debit Card,86,0.92,Horror,0
AM_143,32,Female,Basic,0.16,57,Africa,Mobile,13.99,UPI,58,1.54,Comedy,1
AM_144,46,Female,Standard,25.59,23,Africa,TV,17.99,Credit Card,9,0.57,Sci-Fi,0
AM_145,49,Other,Premium,12.02,10,North America,TV,13.99,UPI,104,0.25,Action,0
AM_146,33,Female,Standard,12.22,29,North America,Mobile,8.99,Credit Card,12,1.13,Horror,0
AM_147,67,Male,Standard,15.2,11,Asia,Laptop,13.99,Debit Card,78,1.22,Romance,0
AM_148,44,Other,Basic,6.4,56,Europe,Mobile,13.99,UPI,23,1.42,Horror,0
AM_149,38,Other,Basic,10.25,37,Asia,Mobile,17.99,Credit Card,72,0.22,Romance,1
AM_150,29,Male,Premium,7.22,3,North America,TV,8.99,Wallet,50,1.03,Sci-Fi,0
AM_151,53,Male,Premium,14.85,10,Asia,TV,13.99,UPI,13,0.73,Comedy,1
AM_152,20,Other,Premium,7.7,49,South America,Laptop,17.99,Debit Card,17,0.71,Sci-Fi,0
AM_153,30,Female,Basic,16.43,4,North America,Laptop,8.99,Debit Card,99,1.66,Comedy,0
AM_154,37,Female,Standard,10.71,35,North America,TV,17.99,Debit Card,113,1.52,Horror,1
AM_155,19,Male,Standard,15.54,25,South America,Mobile,13.99,Wallet,118,0.28,Romance,0
AM_156,45,Other,Premium,11.2,54,North America,TV,8.99,Credit Card,36,1.36,Comedy,0
AM_157,39,Other,Premium,8.32,8,South America,Mobile,13.99,Debit Card,60,1.69,Romance,0
AM_158,60,Female,Basic,14.04,30,Europe,Mobile,13.99,Credit Card,112,0.24,Horror,0
AM_159,44,Male,Basic,6.52,46,Europe,Mobile,17.99,UPI,40,1.85,Comedy,1
AM_160,29,Male,Standard,12.05,57,North America,Mobile,17.99,Debit Card,57,0.44,Comedy,0
AM_161,62,Male,Basic,1.35,13,South America,Laptop,17.99,Debit Card,27,0.54,Comedy,0
AM_162,62,Other,Premium,0.56,12,North America,Laptop,17.99,Credit Card,31,1.7,Action,0
AM_163,69,Female,Premium,6.9,53,Asia,Laptop,13.99,Debit Card,67,0.43,Romance,0
AM_164,55,Female,Basic,5.41,58,North America,Laptop,8.99,Credit Card,54,1.86,Comedy,0
AM_165,19,Female,Standard,4.22,9,North America,Mobile,13.99,Debit Card,15,0.28,Romance,0
AM_166,24,Female,Standard,9.09,12,Asia,Laptop,17.99,UPI,22,0.75,Sci-Fi,0
AM_167,39,Female,Standard,11.23,0,Europe,Mobile,8.99,Wallet,76,0.74,Comedy,0
AM_168,31,Male,Standard,21.27,41,Europe,Mobile,17.99,UPI,91,0.57,Romance,0
AM_169,30,Other,Standard,28.68,16,North America,Laptop,17.99,Credit Card,49,1.27,Comedy,0
AM_170,24,Female,Basic,3.03,58,North America,Laptop,8.99,Debit Card,94,1.59,Drama,1
AM_171,42,Male,Standard,4.55,31,Africa,Laptop,17.99,Debit Card,81,0.24,Sci-Fi,0
AM_172,62,Male,Basic,16.46,46,Europe,TV,8.99,Wallet,114,1.31,Romance,0
AM_173,52,Male,Basic,8.88,47,Europe,TV,8.99,UPI,64,0.4,Romance,0
AM_174,22,Other,Standard,32.23,21,Europe,Mobile,13.99,Debit Card,5,0.99,Sci-Fi,0
AM_175,34,Male,Basic,5.5,1,Asia,Mobile,17.99,Wallet,13,1.64,Action,0
AM_176,60,Female,Premium,8.34,29,Asia,TV,8.99,UPI,70,0.4,Action,0
AM_177,60,Other,Premium,5.82,36,Europe,TV,17.99,UPI,82,1.5,Drama,0
AM_178,60,Female,Standard,4.33,0,South America,Mobile,8.99,Credit Card,9,1.82,Comedy,0
AM_179,30,Other,Basic,8.52,24,South America,Laptop,17.99,UPI,80,0.62,Romance,0
AM_180,55,Male,Standard,9.11,44,Africa,Mobile,8.99,UPI,82,0.55,Action,0
AM_181,39,Other,Standard,23.51,13,Europe,Mobile,13.99,Credit Card,36,1.51,Horror,0
AM_182,68,Male,Premium,3.21,53,Europe,Laptop,13.99,Debit Card,56,1.09,Comedy,0
AM_183,25,Male,Basic,2.02,15,Europe,TV,17.99,Wallet,110,0.2,Comedy,0
AM_184,57,Male,Standard,4.58,6,South America,Laptop,8.99,UPI,60,0.44,Comedy,0
AM_185,59,Male,Basic,5.89,11,Europe,Laptop,17.99,Debit Card,103,1.03,Sci-Fi,0
AM_186,57,Other,Premium,15.39,15,Africa,Laptop,13.99,Debit Card,13,0.39,Action,1
AM_187,50,Female,Standard,12.34,57,Africa,TV,13.99,Debit Card,106,0.98,Action,1
AM_188,39,Female,Standard,16.09,39,North America,Laptop,8.99,UPI,11,0.73,Sci-Fi,0
AM_189,31,Female,Basic,10.74,41,South America,TV,17.99,Debit Card,104,1.8,Action,0
AM_190,32,Male,Standard,8.35,46,Europe,Mobile,8.99,UPI,115,0.36,Romance,0
AM_191,49,Male,Standard,11.3,1,Africa,Laptop,13.99,Wallet,93,1.11,Sci-Fi,0
AM_192,51,Male,Basic,10.43,58,Africa,TV,13.99,Credit Card,81,1.05,Horror,0
AM_193,21,Male,Basic,14.26,33,Asia,Mobile,8.99,Debit Card,47,0.73,Horror,1
AM_194,36,Male,Standard,19.84,26,Asia,TV,8.99,Debit Card,19,1.13,Comedy,0
AM_195,41,Male,Standard,6.22,36,Europe,Laptop,17.99,Credit Card,88,1.19,Action,0
AM_196,22,Other,Basic,10.29,23,South America,Laptop,8.99,UPI,41,0.69,Drama,0
AM_197,65,Other,Basic,2.05,18,Asia,Mobile,17.99,UPI,41,1.61,Comedy,0
AM_198,45,Male,Standard,10.96,22,Europe,TV,13.99,Debit Card,37,0.79,Romance,0
AM_199,51,Female,Basic,5.64,12,South America,TV,8.99,Debit Card,40,1.62,Action,0
AM_200,59,Other,Standard,7.62,59,North America,Laptop,17.99,UPI,76,1.12,Drama,1
AM_201,26,Other,Standard,28.41,58,South America,Mobile,8.99,Wallet,55,1.17,Drama,0
AM_202,53,Male,Premium,14.96,6,Asia,Mobile,17.99,Wallet,1,1.33,Comedy,0
AM_203,42,Other,Basic,5.95,56,Asia,Laptop,8.99,Wallet,53,1.64,Romance,0
AM_204,24,Other,Basic,10.68,25,South America,TV,13.99,Credit Card,62,0.35,Comedy,0
AM_205,33,Female,Basic,4.52,30,North America,Laptop,13.99,UPI,10,0.1,Comedy,0
AM_206,26,Other,Standard,7.84,0,Asia,TV,13.99,Credit Card,60,0.28,Horror,0
AM_207,68,Female,Premium,5.59,0,South America,Mobile,8.99,Credit Card,95,1.48,Action,1
AM_208,27,Male,Basic,6.95,59,Africa,Mobile,17.99,Wallet,97,1.0,Horror,0
AM_209,21,Male,Basic,13.86,54,South America,TV,8.99,UPI,34,1.12,Comedy,1
AM_210,60,Other,Premium,5.34,42,Africa,Laptop,17.99,Credit Card,19,0.78,Sci-Fi,0
AM_211,35,Female,Basic,17.05,46,Africa,TV,17.99,UPI,73,1.95,Drama,1
AM_212,32,Male,Premium,8.49,22,Africa,Laptop,13.99,Wallet,91,0.99,Drama,0
AM_213,39,Other,Premium,15.14,51,Africa,TV,17.99,Wallet,112,1.52,Horror,0
AM_214,51,Other,Basic,6.35,2,Asia,Laptop,17.99,Credit Card,6,1.7,Drama,0
AM_215,20,Male,Basic,25.2,53,Europe,Mobile,8.99,Wallet,112,1.72,Action,0
AM_216,56,Other,Premium,7.51,5,South America,Laptop,13.99,UPI,56,1.77,Sci-Fi,0
AM_217,30,Other,Premium,18.87,12,Asia,Laptop,17.99,Wallet,78,1.73,Sci-Fi,0
AM_218,26,Male,Standard,17.27,41,Asia,Laptop,8.99,Debit Card,37,0.62,Comedy,0
AM_219,34,Female,Standard,11.73,43,Europe,TV,13.99,Wallet,7,0.8,Action,0
AM_220,21,Other,Standard,6.33,13,North America,Mobile,8.99,Wallet,104,1.16,Sci-Fi,0
AM_221,66,Male,Basic,16.02,33,Africa,TV,13.99,Credit Card,106,0.97,Horror,1
AM_222,50,Male,Premium,9.96,34,Europe,TV,17.99,UPI,6,0.24,Action,0
AM_223,46,Female,Basic,13.82,23,Africa,TV,8.99,Credit Card,62,0.42,Sci-Fi,0
AM_224,42,Female,Premium,22.02,46,North America,TV,8.99,Credit Card,18,0.75,Romance,0
AM_225,58,Female,Basic,8.89,10,North America,Laptop,8.99,Wallet,31,0.48,Action,0
AM_226,40,Male,Premium,3.16,15,Asia,Laptop,17.99,UPI,98,1.98,Drama,0
AM_227,63,Male,Basic,5.16,6,South America,Laptop,13.99,UPI,117,1.39,Action,0
AM_228,55,Other,Basic,5.06,44,South America,TV,8.99,Debit Card,90,0.23,Romance,0
AM_229,32,Male,Premium,12.16,5,South America,Mobile,13.99,Wallet,66,1.25,Sci-Fi,0
AM_230,25,Female,Premium,26.51,51,Europe,Laptop,13.99,UPI,103,1.45,Drama,1
AM_231,28,Male,Premium,19.12,52,South America,Mobile,13.99,Credit Card,81,1.41,Comedy,0
AM_232,53,Female,Premium,7.14,49,Europe,Mobile,8.99,Debit Card,85,1.55,Action,0
AM_233,29,Other,Standard,10.52,2,Europe,Laptop,17.99,Debit Card,75,0.42,Drama,0
AM_234,45,Female,Standard,1.04,16,South America,TV,8.99,UPI,116,1.96,Romance,0
AM_235,33,Other,Basic,12.16,22,Africa,Laptop,8.99,UPI,100,1.11,Romance,0
AM_236,23,Female,Standard,18.26,16,Africa,Mobile,8.99,UPI,56,1.99,Sci-Fi,0
AM_237,55,Female,Basic,7.28,9,North America,TV,17.99,Credit Card,54,1.55,Sci-Fi,0
AM_238,54,Male,Premium,15.41,12,North America,Mobile,8.99,Debit Card,107,0.35,Sci-Fi,0
AM_239,58,Other,Premium,6.76,13,South America,Mobile,8.99,Debit Card,55,1.52,Horror,0
AM_240,30,Male,Premium,16.54,34,Asia,TV,13.99,Debit Card,19,0.89,Comedy,1
AM_241,57,Female,Basic,16.56,48,Africa,Laptop,13.99,Wallet,114,1.74,Comedy,1
AM_242,51,Female,Basic,7.27,53,Europe,Mobile,13.99,Debit Card,47,0.96,Drama,1
AM_243,50,Male,Standard,8.07,20,Europe,Mobile,17.99,Wallet,92,0.64,Romance,0
AM_244,55,Other,Basic,6.64,6,South America,Mobile,8.99,Debit Card,63,1.7,Drama,0
AM_245,41,Male,Premium,3.69,8,Europe,Mobile,13.99,Credit Card,80,1.83,Romance,1
AM_246,50,Other,Premium,10.32,42,Asia,TV,13.99,Credit Card,40,0.16,Comedy,0
AM_247,25,Other,Basic,2.41,57,South America,Laptop,8.99,Wallet,101,0.82,Action,1
AM_248,40,Other,Basic,4.4,18,Europe,Laptop,17.99,Credit Card,114,1.3,Romance,0
AM_249,67,Other,Standard,6.47,20,Africa,Mobile,17.99,Credit Card,44,0.8,Comedy,0
AM_250,26,Other,Basic,6.11,45,Africa,Mobile,17.99,Debit Card,58,1.54,Comedy,0
AM_251,29,Other,Basic,5.49,44,North America,TV,8.99,Credit Card,44,0.79,Romance,1
AM_252,47,Other,Basic,2.57,32,Asia,Mobile,8.99,Wallet,21,0.24,Horror,0
AM_253,61,Female,Premium,11.58,44,Europe,TV,17.99,Credit Card,47,0.99,Sci-Fi,1
AM_254,63,Other,Standard,18.24,33,Europe,TV,8.99,Credit Card,8,1.39,Sci-Fi,0
AM_255,51,Male,Basic,2.99,20,Europe,Mobile,17.99,Debit Card,8,0.13,Romance,0
AM_256,47,Female,Standard,4.12,8,Africa,Mobile,8.99,Credit Card,2,0.41,Horror,0
AM_257,69,Other,Standard,4.16,0,Europe,Mobile,13.99,Wallet,69,1.76,Comedy,0
AM_258,37,Other,Standard,13.54,22,Asia,Mobile,8.99,Debit Card,73,1.1,Horror,0
AM_259,56,Other,Premium,14.93,3,Europe,TV,17.99,UPI,107,1.93,Comedy,0
AM_260,18,Female,Standard,16.47,11,Europe,Laptop,17.99,Credit Card,15,1.27,Action,0
AM_261,37,Male,Standard,9.28,57,Europe,TV,17.99,UPI,75,1.28,Sci-Fi,0
AM_262,46,Other,Premium,6.11,1,Asia,Mobile,8.99,UPI,7,0.64,Sci-Fi,0
AM_263,19,Other,Basic,15.0,43,South America,TV,13.99,UPI,8,1.19,Comedy,0
AM_264,29,Female,Standard,22.61,33,South America,TV,13.99,Wallet,74,1.03,Sci-Fi,0
AM_265,38,Female,Premium,29.9,3,Europe,TV,8.99,Debit Card,27,0.51,Sci-Fi,1
AM_266,23,Female,Standard,10.42,55,Europe,Mobile,8.99,Debit Card,117,1.89,Sci-Fi,0
AM_267,41,Male,Premium,1.7,25,Europe,TV,17.99,UPI,66,0.44,Sci-Fi,1
AM_268,58,Female,Basic,10.48,9,Asia,Laptop,8.99,UPI,93,0.9,Sci-Fi,0
AM_269,18,Male,Premium,3.85,7,Europe,Laptop,13.99,Debit Card,61,0.37,Action,0
AM_270,38,Male,Basic,21.45,11,Africa,Mobile,17.99,Credit Card,8,0.3,Comedy,1
AM_271,55,Other,Standard,1.12,36,North America,Laptop,13.99,Credit Card,48,0.79,Sci-Fi,0
AM_272,38,Male,Basic,11.09,57,Africa,Mobile,17.99,Wallet,76,1.7,Action,1
AM_273,31,Male,Basic,10.68,54,Asia,Laptop,8.99,Credit Card,64,0.92,Drama,0
AM_274,59,Male,Standard,8.84,42,Europe,Mobile,13.99,UPI,38,1.78,Horror,1
AM_275,27,Female,Standard,21.41,4,Africa,TV,8.99,Debit Card,29,0.21,Comedy,0
AM_276,40,Male,Standard,8.52,53,South America,TV,8.99,UPI,12,0.27,Comedy,0
